T,Regret,Standard Error,Ratio of pulls
2500,74.62217285318415,2.599584749669732,20.636687715767337
5000,121.29669790928654,3.086230194413375,26.20617570200629
7500,153.6368504708519,3.6548308261862013,30.514930932184065
10000,179.57214271921777,4.092692735904312,33.708453442283464
12500,208.2142402228257,5.085957016775536,36.605776618592266
15000,240.75031140669824,6.001977568872516,38.67718535104972
17500,265.3165154620071,6.2612874195335895,40.739951526881335
20000,284.146194910598,6.241717519286947,42.12437190450092
22500,299.5288765411715,6.28168854741493,44.06640779674317
25000,321.96617458412913,8.616617749219813,45.964762164605744
27500,364.40574918101885,6.416478558943422,47.20910346646559
30000,377.3329997489081,9.389452883478837,48.678286398796196
32500,386.00010432318845,8.663593088315226,50.15548528058875
35000,410.31814238966757,7.641392809623387,52.068021547386955
37500,446.8561600670598,7.945616279509763,52.99420510746151
40000,453.06492259284846,12.156095974545675,54.320196479152195
42500,460.5294260976973,10.548619598803468,55.84120620454045
45000,474.07481939206735,11.270214876317434,56.74318897040566
47500,498.4625457533599,9.879469899908933,56.912874314519826
50000,517.9139195029065,11.112884804956764,58.87576156195935
